Close time,Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,MA,RSI,MACD,Signal,Buy,Sell
2025-09-03 09:59:59.999,2025-09-03 09:00:00,853.35,854.5,852.07,854.31,3425.358,2922947.04093000,16411,1950.80500000,1664704.59703000,0,,,0.0,0.0,False,False
2025-09-03 10:59:59.999,2025-09-03 10:00:00,854.32,854.57,853.23,853.63,4117.905,3516312.26778000,19081,1748.59400000,1493094.62241000,0,,,-0.054245014245111633,-0.010849002849022328,False,False
2025-09-03 11:59:59.999,2025-09-03 11:00:00,853.63,855.0,853.4,854.01,3633.679,3104808.51181000,18912,2044.22800000,1746707.59273000,0,,,-0.06581310216643033,-0.021841822712503928,False,False
2025-09-03 12:59:59.999,2025-09-03 12:00:00,854.01,854.44,852.1,852.27,6026.203,5142995.92854000,23309,2492.59900000,2127359.56919000,0,,,-0.21292983085504602,-0.06005942434101236,False,False
2025-09-03 13:59:59.999,2025-09-03 13:00:00,852.27,858.1,852.27,856.96,8721.028,7461888.85698000,37264,4446.09800000,3803666.31088000,0,,,0.04836537978326305,-0.03837446351615728,False,False
2025-09-03 14:59:59.999,2025-09-03 14:00:00,856.96,864.06,856.45,861.24,13955.968,12005896.36606000,47359,7882.15200000,6781902.12618000,0,,,0.5939571786619808,0.08809186491947035,False,False
2025-09-03 15:59:59.999,2025-09-03 15:00:00,861.24,862.0,858.43,860.31,8190.831,7047612.09537000,28931,4362.54000000,3754022.41580000,0,,,0.9404583637815449,0.2585651646918853,False,False
2025-09-03 16:59:59.999,2025-09-03 16:00:00,860.3,861.44,857.59,858.67,3465.547,2978450.88081000,18426,1356.53000000,1165875.98213000,0,,,1.0703899662111098,0.42093012499573024,False,False
2025-09-03 17:59:59.999,2025-09-03 17:00:00,858.68,862.36,858.68,860.1,5829.275,5018869.48099000,20276,2602.82900000,2240659.24261000,0,,,1.274064128043733,0.5915569256053308,False,False
2025-09-03 18:59:59.999,2025-09-03 18:00:00,860.1,861.18,858.49,858.49,3703.579,3185031.78435000,21467,1891.28100000,1626625.27566000,0,,,1.2906856038038086,0.7313826612450264,False,False
2025-09-03 19:59:59.999,2025-09-03 19:00:00,858.48,861.0,856.62,857.01,6421.784,5512269.87721000,31932,2828.36600000,2427915.69266000,0,,,1.1709367816351914,0.8192934853230593,False,False
2025-09-03 20:59:59.999,2025-09-03 20:00:00,857.01,857.22,852.4,854.47,9500.917,8118535.21064000,38439,3731.29900000,3187399.30952000,0,,,0.8611513878377082,0.8276650658259891,False,False
2025-09-03 21:59:59.999,2025-09-03 21:00:00,854.47,856.17,853.3,854.63,3352.889,2866420.05906000,14626,1883.77900000,1610766.64140000,0,,,0.6213918754569931,0.7864104277521899,False,False
